ticket_id,customer_id,company_name,issue_type,issue_category,priority,sentiment,language,created_date,resolved_date,resolution_time_hours,description_text,resolution_text,first_response_time_minutes,escalated,escalation_level,agent_id,satisfaction_score,next_best_offer_suggested,offer_accepted
TKT00000013,SME000087,Company_3,cloud,technical,critical,negative,en,2025-06-14 10:32:26,2025-06-15 12:32:26,26,Cloud storage running out of space unexpectedly,"Analyzed storage usage, found old backups consuming space, cleaned up and increased quota",18,yes,L3,AGT044,5,Cloud storage expansion package,yes
TKT00000014,SME000002,Company_79,iot,technical,medium,angry,en,2025-09-23 10:32:26,2025-09-25 18:32:26,56,Fleet tracking showing incorrect GPS locations,"Updated GPS firmware on devices, recalibrated positioning, accuracy improved",106,no,None,AGT042,5,Security upgrade package,no
TKT00000015,SME000084,Company_25,iot,technical,medium,neutral,en,2025-06-16 10:32:26,2025-06-17 23:32:26,37,Data usage exceeding allocated monthly limit,"Analyzed device transmission patterns, optimized data packets, reduced usage",52,no,None,AGT028,5,Security upgrade package,yes
TKT00000016,SME000039,Company_38,iot,technical,medium,negative,en,2025-10-10 10:32:26,2025-10-10 23:32:26,13,Geofencing alerts not triggering properly,"Reconfigured geofence boundaries, tested alert system, confirmed working correctly",155,no,None,AGT005,5,None,None
TKT00000017,SME000032,Company_81,connectivity,technical,medium,neutral,en,2025-07-08 10:32:26,2025-07-10 17:32:26,55,Internet connection down completely since this morning,"Technician dispatched to check fiber line, found damaged cable at junction box, repaired and tested",21,no,None,AGT011,2,None,None
TKT00000018,SME000037,Company_82,billing,administrative,medium,frustrated,en,2025-07-08 10:32:26,2025-07-09 04:32:26,18,Invoice not received for current month,"Resent invoice to updated email address, verified delivery, confirmed payment due date",56,no,None,AGT006,4,Security upgrade package,pending
TKT00000019,SME000016,Company_93,billing,administrative,critical,angry,en,2025-08-11 10:32:26,2025-08-12 16:32:26,30,Double charged for last month service,"Confirmed duplicate charge, processed full refund, apologized for inconvenience",139,no,None,AGT004,2,Managed services plan,None
TKT00000020,SME000040,Company_41,billing,administrative,medium,neutral,en,2025-07-30 10:32:26,2025-08-01 22:32:26,60,Requesting payment plan for outstanding balance,"Reviewed account history, approved 3-month payment plan, documented agreement",98,no,None,AGT006,2,None,None
TKT00000021,SME000071,Company_96,service_setup,sales,high,neutral,en,2025-06-15 10:32:26,2025-06-17 01:32:26,39,Need assistance with firewall rule configuration,"Created firewall rules as per requirements, documented configuration, tested access",75,no,None,AGT023,2,Security upgrade package,yes
TKT00000022,SME000068,Company_11,connectivity,technical,medium,neutral,en,2025-09-05 10:32:26,2025-09-08 02:32:26,64,Unable to reach certain websites and services,"DNS configuration issue identified, updated DNS settings, tested resolution",19,no,None,AGT036,4,Premium support tier,no
TKT00000023,SME000061,Company_106,billing,administrative,low,positive,en,2025-04-30 10:32:26,2025-05-02 17:32:26,55,Double charged for last month service,"Confirmed duplicate charge, processed full refund, apologized for inconvenience",62,no,None,AGT012,1,Premium support tier,None
TKT00000024,SME000062,Company_87,service_setup,sales,medium,positive,en,2025-05-08 10:32:26,2025-05-11 01:32:26,63,Need help configuring new SD-WAN deployment,"Provided detailed configuration guide, assisted with setup, tested connectivity between sites",116,no,None,AGT003,3,Managed services plan,yes
TKT00000025,SME000096,Company_21,connectivity,technical,low,neutral,en,2025-07-06 10:32:26,2025-07-08 19:32:26,57,Fiber line seems damaged near our building,"Emergency repair team dispatched, fiber splice completed, service restored",162,no,None,AGT024,1,Premium support tier,yes
TKT00000026,SME000106,Company_76,billing,administrative,high,frustrated,en,2025-09-02 10:32:26,2025-09-03 06:32:26,20,Payment not reflecting despite bank transfer,"Located payment in system, applied to account, sent updated statement",16,no,None,AGT028,5,Managed services plan,None
TKT00000027,SME000063,Company_39,service_setup,sales,high,neutral,en,2025-06-12 10:32:26,2025-06-15 06:32:26,68,Want to upgrade from Silver to Gold tier,"Reviewed upgrade options, processed tier change, applied benefits to account",158,yes,L2,AGT042,2,Premium support tier,None
TKT00000028,SME000011,Company_53,iot,technical,critical,neutral,en,2025-10-12 10:32:26,2025-10-13 14:32:26,28,Asset monitoring sensors battery draining fast,"Adjusted transmission intervals, optimized power settings, extended battery life",51,yes,L2,AGT047,2,Premium support tier,no
TKT00000029,SME000070,Company_35,billing,administrative,medium,neutral,en,2025-07-10 10:32:26,2025-07-12 17:32:26,55,Double charged for last month service,"Confirmed duplicate charge, processed full refund, apologized for inconvenience",25,no,None,AGT033,4,Security upgrade package,no
TKT00000030,SME000051,Company_34,cloud,technical,high,negative,en,2025-05-26 10:32:26,2025-05-27 06:32:26,20,DDoS protection not activating during attack,"Reviewed configuration, enabled always-on protection, tested attack mitigation",109,no,None,AGT037,5,Premium support tier,no
TKT00000031,SME000007,Company_49,connectivity,technical,critical,angry,en,2025-05-14 10:32:26,2025-05-16 15:32:26,53,Latency issues affecting video conferencing,"Optimized routing, enabled QoS for voice/video traffic, latency reduced significantly",134,yes,L2,AGT038,2,Managed services plan,yes
TKT00000032,SME000009,Company_101,connectivity,technical,medium,positive,en,2025-07-25 10:32:26,2025-07-25 20:32:26,10,Intermittent connectivity drops throughout the day,"Replaced faulty router, updated firmware, monitored for 24 hours - issue resolved",9,no,None,AGT007,3,Premium support tier,None
TKT00000033,SME000032,Company_60,billing,administrative,critical,neutral,en,2025-08-29 10:32:26,2025-08-31 21:32:26,59,Double charged for last month service,"Confirmed duplicate charge, processed full refund, apologized for inconvenience",100,no,None,AGT004,5,Managed services plan,no
TKT00000034,SME000106,Company_110,connectivity,technical,high,frustrated,en,2025-08-28 10:32:26,2025-08-28 11:32:26,1,Cannot access VPN to connect to our servers,"Configured firewall rules, opened required ports, tested VPN connection successfully",69,no,None,AGT046,5,Managed services plan,no
TKT00000035,SME000016,Company_104,billing,administrative,low,neutral,en,2025-07-01 10:32:26,2025-07-01 16:32:26,6,Requesting payment plan for outstanding balance,"Reviewed account history, approved 3-month payment plan, documented agreement",168,no,None,AGT049,4,Security upgrade package,no
TKT00000036,SME000024,Company_73,connectivity,technical,low,neutral,en,2025-08-18 10:32:26,2025-08-21 10:32:26,72,"Very slow internet speeds, cannot work efficiently","Checked network congestion, optimized QoS settings, upgraded to higher bandwidth plan",35,no,None,AGT009,5,Bandwidth upgrade to higher tier,no
TKT00000037,SME000096,Company_41,cloud,technical,high,neutral,en,2025-07-07 10:32:26,2025-07-07 18:32:26,8,DDoS protection not activating during attack,"Reviewed configuration, enabled always-on protection, tested attack mitigation",132,no,None,AGT016,2,Security upgrade package,None
TKT00000038,SME000073,Company_82,connectivity,technical,medium,neutral,en,2025-10-13 10:32:26,2025-10-15 14:32:26,52,Router keeps rebooting automatically,"Defective router replaced with new unit, configured settings, monitored stability",39,no,None,AGT049,1,Security upgrade package,no
TKT00000039,SME000109,Company_98,iot,technical,medium,angry,en,2025-05-30 10:32:26,2025-05-31 11:32:26,25,Cannot access IoT management platform,"Platform maintenance completed, restored access, verified all features working",54,no,None,AGT049,1,Managed services plan,None
TKT00000040,SME000073,Company_41,billing,administrative,high,neutral,en,2025-08-17 10:32:26,2025-08-19 01:32:26,39,Invoice amount higher than expected this month,"Reviewed billing, explained prorated charges for mid-cycle upgrade, customer satisfied",127,no,None,AGT040,1,Premium support tier,no
TKT00000041,SME000078,Company_51,connectivity,technical,medium,negative,en,2025-07-08 10:32:26,2025-07-09 20:32:26,34,Unable to reach certain websites and services,"DNS configuration issue identified, updated DNS settings, tested resolution",158,no,None,AGT020,4,Premium support tier,pending
TKT00000042,SME000004,Company_20,billing,administrative,low,neutral,en,2025-07-04 10:32:26,2025-07-04 16:32:26,6,Double charged for last month service,"Confirmed duplicate charge, processed full refund, apologized for inconvenience",135,no,None,AGT046,4,Managed services plan,yes
TKT00000043,SME000097,Company_88,iot,technical,critical,neutral,en,2025-09-11 10:32:26,2025-09-13 06:32:26,44,Need to add 50 more devices to existing plan,"Reviewed account, upgraded to higher tier plan, provisioned additional SIMs",93,yes,management,AGT009,4,IoT device expansion plan,no
TKT00000044,SME000051,Company_49,cloud,technical,medium,negative,en,2025-06-03 10:32:26,2025-06-03 16:32:26,6,Cloud costs higher than budget allocation,"Conducted cost analysis, identified unused resources, implemented cost optimization",74,no,None,AGT050,1,Managed services plan,yes
TKT00000045,SME000050,Company_48,iot,technical,medium,angry,en,2025-05-08 10:32:26,2025-05-09 16:32:26,30,Fleet tracking showing incorrect GPS locations,"Updated GPS firmware on devices, recalibrated positioning, accuracy improved",146,no,None,AGT033,2,Security upgrade package,no
TKT00000046,SME000077,Company_27,service_setup,sales,medium,angry,en,2025-10-13 10:32:26,2025-10-13 13:32:26,3,Want to upgrade from Silver to Gold tier,"Reviewed upgrade options, processed tier change, applied benefits to account",53,no,None,AGT037,3,None,None
TKT00000047,SME000089,Company_35,service_setup,sales,low,angry,en,2025-06-23 10:32:26,2025-06-26 06:32:26,68,Want to upgrade from Silver to Gold tier,"Reviewed upgrade options, processed tier change, applied benefits to account",83,no,None,AGT010,3,Security upgrade package,yes
TKT00000048,SME000011,Company_83,service_setup,sales,high,frustrated,en,2025-07-01 10:32:26,2025-07-02 05:32:26,19,Want to upgrade from Silver to Gold tier,"Reviewed upgrade options, processed tier change, applied benefits to account",58,no,None,AGT017,3,None,None
TKT00000049,SME000109,Company_91,connectivity,technical,low,neutral,en,2025-05-22 10:32:26,2025-05-24 02:32:26,40,Latency issues affecting video conferencing,"Optimized routing, enabled QoS for voice/video traffic, latency reduced significantly",57,no,None,AGT049,5,Premium support tier,yes
TKT00000050,SME000083,Company_3,billing,administrative,low,neutral,en,2025-04-29 10:32:26,2025-04-30 12:32:26,26,Invoice amount higher than expected this month,"Reviewed billing, explained prorated charges for mid-cycle upgrade, customer satisfied",34,no,None,AGT033,5,None,None
TKT00000051,SME000108,Company_73,cloud,technical,medium,neutral,en,2025-09-12 10:32:26,2025-09-15 00:32:26,62,DDoS protection not activating during attack,"Reviewed configuration, enabled always-on protection, tested attack mitigation",143,no,None,AGT034,1,Security upgrade package,pending
TKT00000052,SME000050,Company_47,connectivity,technical,medium,frustrated,en,2025-06-10 10:32:26,2025-06-13 06:32:26,68,WiFi coverage poor in office areas,"Installed additional access points, optimized channel settings, improved coverage",108,no,None,AGT001,4,None,None
TKT00000053,SME000093,Company_49,service_setup,sales,medium,frustrated,en,2025-05-20 10:32:26,2025-05-21 02:32:26,16,How to set up API access for our application,"Generated API credentials, provided integration documentation, tested sample requests",111,no,None,AGT021,2,Premium support tier,None
TKT00000054,SME000071,Company_23,service_setup,sales,critical,angry,en,2025-05-13 10:32:26,2025-05-14 02:32:26,16,How to set up API access for our application,"Generated API credentials, provided integration documentation, tested sample requests",33,no,None,AGT019,1,Managed services plan,yes
TKT00000055,SME000068,Company_2,iot,technical,high,negative,en,2025-09-04 10:32:26,2025-09-06 13:32:26,51,Fleet tracking showing incorrect GPS locations,"Updated GPS firmware on devices, recalibrated positioning, accuracy improved",5,no,None,AGT005,1,None,None
TKT00000056,SME000009,Company_91,billing,administrative,high,neutral,en,2025-08-17 10:32:26,2025-08-17 16:32:26,6,Credit limit increase request for expansion,"Reviewed payment history, approved credit limit increase, updated account",56,no,None,AGT001,3,Premium support tier,yes
TKT00000057,SME000041,Company_99,connectivity,technical,medium,angry,en,2025-09-30 10:32:26,2025-10-01 05:32:26,19,Latency issues affecting video conferencing,"Optimized routing, enabled QoS for voice/video traffic, latency reduced significantly",129,no,None,AGT043,4,Security upgrade package,None
TKT00000058,SME000007,Company_91,service_setup,sales,medium,neutral,en,2025-05-19 10:32:26,2025-05-20 15:32:26,29,Integration assistance for IoT with ERP system,"Reviewed ERP API documentation, developed integration solution, tested data flow",5,no,None,AGT045,2,Security upgrade package,no
TKT00000059,SME000031,Company_34,cloud,technical,low,negative,en,2025-06-10 10:32:26,2025-06-13 08:32:26,70,Disaster recovery test failed to restore,"Investigated backup integrity, found configuration error, corrected and re-tested successfully",54,no,None,AGT015,3,Premium support tier,yes
TKT00000060,SME000109,Company_110,cloud,technical,medium,neutral,en,2025-05-08 10:32:26,2025-05-09 22:32:26,36,Cloud costs higher than budget allocation,"Conducted cost analysis, identified unused resources, implemented cost optimization",159,no,None,AGT024,1,Security upgrade package,yes
TKT00000061,SME000310,شركة_97,connectivity,technical,medium,frustrated,ar,2025-08-12 10:32:26,2025-08-14 20:32:26,58,انقطاع كامل في خدمة الإنترنت منذ الصباح,تم إرسال فني لفحص خط الفايبر، وجد كابل تالف في صندوق التوصيل، تم الإصلاح والاختبار,143,no,None,AGT028,5,حزمة ترقية الأمان,None
TKT00000062,SME000247,شركة_28,service_setup,sales,medium,positive,ar,2025-08-27 10:32:26,2025-08-29 15:32:26,53,نحتاج مساعدة في تكوين نشر SD-WAN جديد,تم توفير دليل تكوين مفصل، المساعدة في الإعداد، اختبار الاتصال بين المواقع,133,no,None,AGT036,1,None,None
TKT00000063,SME000249,شركة_107,cloud,technical,medium,positive,ar,2025-10-18 10:32:26,2025-10-20 04:32:26,42,مهمة النسخ الاحتياطي تفشل مع أخطاء انتهاء المهلة,زيادة نافذة النسخ الاحتياطي، تحسين جدول النسخ الاحتياطي، اختبار الإكمال الناجح,13,no,None,AGT026,1,مستوى الدعم المتميز,pending
TKT00000064,SME000257,شركة_16,billing,administrative,high,positive,ar,2025-05-18 10:32:26,2025-05-18 14:32:26,4,الدفع لا ينعكس رغم التحويل البنكي,تم تحديد موقع الدفع في النظام، التطبيق على الحساب، إرسال كشف محدث,157,no,None,AGT012,2,مستوى الدعم المتميز,None
TKT00000065,SME000288,شركة_97,cloud,technical,medium,positive,ar,2025-06-11 10:32:26,2025-06-12 22:32:26,36,اختبار التعافي من الكوارث فشل في الاستعادة,تم التحقيق في سلامة النسخ الاحتياطي، وجد خطأ في التكوين، تصحيح وإعادة الاختبار بنجاح,120,no,None,AGT038,3,حزمة ترقية الأمان,no
TKT00000066,SME000253,شركة_16,iot,technical,low,angry,ar,2025-06-14 10:32:26,2025-06-16 21:32:26,59,تنبيهات السياج الجغرافي لا تُطلق بشكل صحيح,تم إعادة تكوين حدود السياج الجغرافي، اختبار نظام التنبيه، تأكيد العمل بشكل صحيح,163,no,None,AGT003,5,None,None
TKT00000067,SME000212,شركة_3,connectivity,technical,medium,negative,ar,2025-04-22 10:32:26,2025-04-22 11:32:26,1,مشاكل في زمن الوصول تؤثر على مؤتمرات الفيديو,تم تحسين التوجيه، تمكين QoS لحركة الصوت/الفيديو، تقليل زمن الوصول بشكل كبير,55,no,None,AGT025,3,حزمة توسيع التخزين السحابي,no
TKT00000068,SME000262,شركة_19,connectivity,technical,high,neutral,ar,2025-08-24 10:32:26,2025-08-26 19:32:26,57,غير قادرين على الوصول إلى مواقع وخدمات معينة,تم تحديد مشكلة تكوين DNS، تحديث إعدادات DNS، اختبار الحل,165,yes,L2,AGT011,3,None,None
TKT00000069,SME000269,شركة_110,cloud,technical,low,angry,ar,2025-07-15 10:32:26,2025-07-15 11:32:26,1,حماية DDoS لا يتم تنشيطها أثناء الهجوم,تمت مراجعة التكوين، تمكين الحماية الدائمة، اختبار تخفيف الهجوم,175,no,None,AGT028,2,خطة توسيع أجهزة إنترنت الأشياء,None
TKT00000070,SME000306,شركة_10,billing,administrative,low,neutral,ar,2025-05-17 10:32:26,2025-05-18 09:32:26,23,نحتاج إلى تفصيل تفصيلي لرسوم الاستخدام,تم إنشاء تقرير مفصل، شرح كل فئة رسوم، إرسال عبر البريد الإلكتروني,73,no,None,AGT025,4,حزمة توسيع التخزين السحابي,yes
TKT00000071,SME000207,شركة_83,service_setup,sales,critical,angry,ar,2025-05-16 10:32:26,2025-05-17 07:32:26,21,كيفية إضافة مستخدمين جدد إلى الاتصالات الموحدة,تم عرض واجهة إدارة المستخدم، إضافة مستخدمي اختبار، تأكيد الوظيفة,154,no,None,AGT008,1,None,None
TKT00000072,SME000231,شركة_25,iot,technical,medium,neutral,ar,2025-06-13 10:32:26,2025-06-13 14:32:26,4,بطارية أجهزة استشعار مراقبة الأصول تستنزف بسرعة,تم ضبط فترات الإرسال، تحسين إعدادات الطاقة، تمديد عمر البطارية,113,no,None,AGT042,1,حزمة توسيع التخزين السحابي,None
TKT00000073,SME000304,شركة_81,iot,technical,high,angry,ar,2025-09-18 10:32:26,2025-09-18 12:32:26,2,أجهزة استشعار درجة الحرارة تظهر قراءات غير دقيقة,تم إعادة معايرة أجهزة الاستشعار عن بُعد، التحقق مقابل المعايير المعروفة، القراءات دقيقة,49,no,None,AGT029,4,خطة توسيع أجهزة إنترنت الأشياء,pending
TKT00000074,SME000304,شركة_110,connectivity,technical,medium,neutral,ar,2025-08-17 10:32:26,2025-08-18 02:32:26,16,لا نستطيع الوصول إلى VPN للاتصال بخوادمنا,تم تكوين قواعد جدار الحماية، فتح المنافذ المطلوبة، اختبار اتصال VPN بنجاح,120,no,None,AGT048,5,خطة الخدمات المُدارة,no
TKT00000075,SME000278,شركة_13,billing,administrative,low,positive,ar,2025-04-24 10:32:26,2025-04-26 11:32:26,49,مبلغ الفاتورة أعلى من المتوقع هذا الشهر,تمت مراجعة الفواتير، شرح الرسوم المقسمة للترقية في منتصف الدورة، رضا العميل,56,no,None,AGT015,3,حزمة توسيع التخزين السحابي,None
TKT00000076,SME000298,شركة_23,service_setup,sales,high,angry,ar,2025-05-21 10:32:26,2025-05-23 20:32:26,58,كيفية إعداد وصول API لتطبيقنا,تم إنشاء بيانات اعتماد API، توفير وثائق التكامل، اختبار طلبات العينة,142,no,None,AGT038,4,مستوى الدعم المتميز,no
TKT00000077,SME000207,شركة_34,billing,administrative,low,negative,ar,2025-06-17 10:32:26,2025-06-18 17:32:26,31,مبلغ الفاتورة أعلى من المتوقع هذا الشهر,تمت مراجعة الفواتير، شرح الرسوم المقسمة للترقية في منتصف الدورة، رضا العميل,17,no,None,AGT034,4,None,None
TKT00000078,SME000309,شركة_38,iot,technical,critical,frustrated,ar,2025-05-24 10:32:26,2025-05-26 10:32:26,48,التكامل مع نظام طرف ثالث يفشل,تمت مراجعة بيانات اعتماد API، تحديث رموز المصادقة، اختبار التكامل بنجاح,127,yes,L3,AGT026,1,خطة الخدمات المُدارة,pending
TKT00000079,SME000216,شركة_38,connectivity,technical,low,neutral,ar,2025-08-04 10:32:26,2025-08-07 07:32:26,69,خط الفايبر يبدو متضرراً بالقرب من مبنانا,تم إرسال فريق الإصلاح الطارئ، اكتمل توصيل الفايبر، استعادة الخدمة,164,no,None,AGT018,5,حزمة ترقية الأمان,no
TKT00000080,SME000300,شركة_46,connectivity,technical,medium,positive,ar,2025-07-02 10:32:26,2025-07-03 00:32:26,14,انقطاعات متقطعة في الاتصال طوال اليوم,تم استبدال جهاز الراوتر المعيب، تحديث البرامج الثابتة، المراقبة لمدة 24 ساعة - تم حل المشكلة,105,no,None,AGT014,3,مستوى الدعم المتميز,yes
TKT00000081,SME000206,شركة_38,cloud,technical,medium,neutral,ar,2025-06-07 10:32:26,2025-06-09 21:32:26,59,مهمة النسخ الاحتياطي تفشل مع أخطاء انتهاء المهلة,زيادة نافذة النسخ الاحتياطي، تحسين جدول النسخ الاحتياطي، اختبار الإكمال الناجح,169,no,None,AGT001,3,حزمة توسيع التخزين السحابي,None
TKT00000082,SME000268,شركة_12,cloud,technical,medium,frustrated,ar,2025-08-04 10:32:26,2025-08-04 12:32:26,2,حماية DDoS لا يتم تنشيطها أثناء الهجوم,تمت مراجعة التكوين، تمكين الحماية الدائمة، اختبار تخفيف الهجوم,108,no,None,AGT041,4,مستوى الدعم المتميز,no
TKT00000083,SME000302,شركة_67,connectivity,technical,medium,angry,ar,2025-08-23 10:32:26,2025-08-24 05:32:26,19,خط الفايبر يبدو متضرراً بالقرب من مبنانا,تم إرسال فريق الإصلاح الطارئ، اكتمل توصيل الفايبر، استعادة الخدمة,128,no,None,AGT049,2,مستوى الدعم المتميز,None
TKT00000084,SME000284,شركة_62,service_setup,sales,medium,frustrated,ar,2025-04-29 10:32:26,2025-05-01 21:32:26,59,نحتاج مساعدة في تكوين نشر SD-WAN جديد,تم توفير دليل تكوين مفصل، المساعدة في الإعداد، اختبار الاتصال بين المواقع,172,no,None,AGT010,3,None,None
TKT00000085,SME000208,شركة_59,billing,administrative,medium,frustrated,ar,2025-10-05 10:32:26,2025-10-07 03:32:26,41,الدفع لا ينعكس رغم التحويل البنكي,تم تحديد موقع الدفع في النظام، التطبيق على الحساب، إرسال كشف محدث,148,no,None,AGT018,1,None,None
TKT00000086,SME000277,شركة_20,connectivity,technical,high,angry,ar,2025-06-15 10:32:26,2025-06-17 02:32:26,40,غير قادرين على الوصول إلى مواقع وخدمات معينة,تم تحديد مشكلة تكوين DNS، تحديث إعدادات DNS، اختبار الحل,140,no,None,AGT028,2,ترقية عرض النطاق إلى مستوى أعلى,pending
TKT00000087,SME000249,شركة_64,cloud,technical,medium,neutral,ar,2025-08-14 10:32:26,2025-08-14 22:32:26,12,الخادم الافتراضي لا يستجيب لاتصالات SSH,تم فحص قواعد جدار الحماية، مجموعة الأمان تحظر المنفذ 22، تحديث القواعد واختبار الوصول,172,no,None,AGT021,1,ترقية عرض النطاق إلى مستوى أعلى,pending
TKT00000088,SME000294,شركة_99,service_setup,sales,high,frustrated,ar,2025-06-20 10:32:26,2025-06-21 14:32:26,28,نحتاج إلى تكوين جدول النسخ الاحتياطي للأجهزة الافتراضية,تم إعداد جدول النسخ الاحتياطي التلقائي، تكوين سياسة الاحتفاظ، اختبار النسخ الاحتياطي/الاستعادة,170,no,None,AGT010,3,خطة الخدمات المُدارة,None
TKT00000089,SME000233,شركة_19,iot,technical,high,frustrated,ar,2025-08-12 10:32:26,2025-08-14 16:32:26,54,نحتاج إلى إضافة 50 جهازاً آخر إلى الخطة الحالية,تمت مراجعة الحساب، الترقية إلى خطة من مستوى أعلى، توفير بطاقات SIM إضافية,67,no,None,AGT023,4,خطة الخدمات المُدارة,yes
TKT00000090,SME000290,شركة_59,cloud,technical,low,positive,ar,2025-05-09 10:32:26,2025-05-11 00:32:26,38,نحتاج إلى ترحيل البيانات إلى مستوى تخزين أكبر,تم التخطيط للترحيل خارج ساعات العمل، التنفيذ بنجاح، التحقق من سلامة البيانات,25,no,None,AGT004,4,حزمة توسيع التخزين السحابي,pending
TKT00000091,SME000303,شركة_30,cloud,technical,low,frustrated,ar,2025-05-03 10:32:26,2025-05-04 00:32:26,14,نحتاج إلى ترحيل البيانات إلى مستوى تخزين أكبر,تم التخطيط للترحيل خارج ساعات العمل، التنفيذ بنجاح، التحقق من سلامة البيانات,126,no,None,AGT030,1,خطة الخدمات المُدارة,yes
TKT00000092,SME000238,شركة_2,billing,administrative,medium,frustrated,ar,2025-10-05 10:32:26,2025-10-08 04:32:26,66,تم تحصيل رسوم لخدمات لم نطلبها,تم التحقيق في سجلات الفوترة، وجد خطأ، تم إصدار ائتمان وتصحيح الفواتير المستقبلية,8,no,None,AGT018,3,خطة الخدمات المُدارة,yes
TKT00000093,SME000310,شركة_101,service_setup,sales,critical,frustrated,ar,2025-09-13 10:32:26,2025-09-14 16:32:26,30,المساعدة في التكامل لإنترنت الأشياء مع نظام ERP,تمت مراجعة وثائق API لنظام ERP، تطوير حل التكامل، اختبار تدفق البيانات,72,no,None,AGT049,2,مستوى الدعم المتميز,no
TKT00000094,SME000236,شركة_28,service_setup,sales,critical,neutral,ar,2025-08-28 10:32:26,2025-08-29 13:32:26,27,نحتاج تدريب على بوابة إدارة السحابة,تم جدولة جلسة تدريبية، توفير الوثائق، عرض الميزات الرئيسية,124,no,None,AGT042,3,خطة توسيع أجهزة إنترنت الأشياء,no
TKT00000095,SME000241,شركة_81,connectivity,technical,medium,frustrated,ar,2025-05-28 10:32:26,2025-05-29 09:32:26,23,فقدان الحزم يسبب فشل التطبيقات,تم تحديد معدات الشبكة المعيبة، استبدال المحول، اختبار الاتصال,51,no,None,AGT023,2,حزمة توسيع التخزين السحابي,None
TKT00000096,SME000219,شركة_11,iot,technical,low,positive,ar,2025-06-09 10:32:26,2025-06-09 12:32:26,2,نحتاج إلى إضافة 50 جهازاً آخر إلى الخطة الحالية,تمت مراجعة الحساب، الترقية إلى خطة من مستوى أعلى، توفير بطاقات SIM إضافية,169,no,None,AGT050,4,حزمة توسيع التخزين السحابي,pending
TKT00000097,SME000235,شركة_106,billing,administrative,high,angry,ar,2025-07-27 10:32:26,2025-07-28 15:32:26,29,طلب خطة دفع للرصيد المستحق,تمت مراجعة سجل الحساب، الموافقة على خطة دفع لمدة 3 أشهر، توثيق الاتفاقية,117,no,None,AGT024,5,خطة توسيع أجهزة إنترنت الأشياء,no
